pid,artist,label,collection,location,_date,tags,object_type,source,order,layout,thumbnail,full,manifest
gg_01,Guy Gabon,L’ombre gagne (Aimé Césaire),minicomp,"Musée Victor Schoelcher à Pointe-à-Pitre, Guadeloupe",Février 2015,Trace,pochoir,https://guygabon.com/portfolio/empreintes-et-traces/,00,minicomp_item,"/img/derivatives/iiif/images/gg_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_01/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_01/manifest.json
gg_02,Guy Gabon,Empreintes et traces,minicomp,"Musée Victor Schoelcher à Pointe-à-Pitre, Guadeloupe",Février 2015,Héritage|Trace,Land-art,https://guygabon.com/portfolio/empreintes-et-traces/,01,minicomp_item,"/img/derivatives/iiif/images/gg_02/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_02/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_02/manifest.json
gg_03,Guy Gabon,« S.A.M.U. » Saugarde des Arbres en Milieu Urbain,minicomp,"Place de la Victoire, Pointe-à-Pitre, Guadeloupe",Mars 2013,biodiversité|environnement|,Installation in situ,https://guygabon.com/portfolio/s-a-m-u-saugarde-des-arbres-en-milieu-urbain/,02,minicomp_item,"/img/derivatives/iiif/images/gg_03/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_03/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_03/manifest.json
gg_04,Guy Gabon,« S.A.M.U. » Saugarde des Arbres en Milieu Urbain,minicomp,"Place de la Victoire, Pointe-à-Pitre, Guadeloupe",Mars 2013,biodiversité|environnement|,Installation in situ,https://guygabon.com/portfolio/s-a-m-u-saugarde-des-arbres-en-milieu-urbain/,03,minicomp_item,"/img/derivatives/iiif/images/gg_04/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_04/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_04/manifest.json
gg_05,Guy Gabon,Humanité submergée,minicomp,Guadeloupe Pôle Caraïbes,Janvier 2019,biodiversité|environnement|,Textile art,https://guygabon.com/portfolio/liquide/,04,minicomp_item,"/img/derivatives/iiif/images/gg_05/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_05/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_05/manifest.json
gg_06,Guy Gabon,"Nous avons perdu le Nord, Suivons les Suds ! – We lost the North, Follow the South(s)",minicomp,"Clark Atlanta University art museum à Atlanta, Etats-Unis",Février 2020,globalité|environnement,Installation in situ,https://guygabon.com/portfolio/nous-avons-perdu-le-nord-suivons-les-suds/,05,minicomp_item,"/img/derivatives/iiif/images/gg_06/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_06/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_06/manifest.json
gg_07,Guy Gabon,Reliance,minicomp,"Clark Atlanta University art museum à Atlanta, Etats-Unis",Février 2020,globalité|environnement,Installation in situ,https://guygabon.com/portfolio/reliance/,06,minicomp_item,"/img/derivatives/iiif/images/gg_07/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_07/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_07/manifest.json
gg_08,Guy Gabon,# Tous réfugiés climatiques,minicomp,"Mémorial ACTE, à Pointe-à-Pitre, Guadeloupe",Novembre 2016 – Avril 2017,globalité|environnement,Installation in situ,https://guygabon.com/portfolio/tous-refugies-climatiques/,07,minicomp_item,"/img/derivatives/iiif/images/gg_08/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_08/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_08/manifest.json
gg_09,"Guy Gabon, Anne Meyer, Myriam Soulanges",Yué#Sororité/ Yue Pap,minicomp,Guyane,Mai 2018,corporalité|féminisme|globalité,Performance,https://guygabon.com/portfolio/yue-sororite/,08,minicomp_item,"/img/derivatives/iiif/images/gg_09/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_09/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_09/manifest.json
gg_10,Guy Gabon,I[MARE]GINAIRES – « J’habite … »,minicomp,"Une mare du Gosier, Guadeloupe",2019,biodiversité|environnement|,Installation in situ,https://guygabon.com/portfolio/imareginaires-jhabite/,09,minicomp_item,"/img/derivatives/iiif/images/gg_10/full/250,/0/default.jpg","/img/derivatives/iiif/images/gg_10/full/1140,/0/default.jpg",/img/derivatives/iiif/gg_10/manifest.json
